topology,seed,norm,lambda2,h_cog,h_cont,mean_v,std_v,frac_bin0,u_mean
BA m=10,314,degree_linear,7.848234758108013,-0.0,2.3403294869376348,-2.2913735453232738,0.2334352560177321,1.0,1.0
ER p=0.05,42,uniform,0.5285431764866906,0.24229218908241482,3.8985390382450906,-1.7915007682105841,0.4528369339048363,0.96,0.8352868014894663
ER p=0.05,42,degree_linear,0.5285431764866906,0.6098403047164004,3.2068693076684425,-1.3371216738967626,0.2550945216763769,0.85,0.32279111593317616
ER p=0.05,123,uniform,0.6903522713639797,0.1943918578315762,3.8397805335811572,-1.9265187851396501,0.3988432285559499,0.97,0.903957337483174
ER p=0.05,123,degree_linear,0.6903522713639797,0.7601675029619657,3.3602004970013106,-1.3772795357529344,0.3605048801212624,0.78,0.4245026823123247
ER p=0.05,777,uniform,0.7552409436586217,-0.0,3.4719780677799306,-1.9489930544778316,0.3217380634953712,1.0,0.9390718346689695
ER p=0.05,777,degree_linear,0.7552409436586217,0.4689955935892812,4.089733193032729,-1.492909107957912,0.45776786608152525,0.9,0.5992473562943321
ER p=0.05,17,uniform,0.7660672209096346,0.36592365090022316,4.388047190938309,-1.4684792468661785,0.43156543698340827,0.93,0.6548029956478889
ER p=0.05,17,degree_linear,0.7660672209096346,0.6098403047164004,2.9452329398869566,-1.3040690904550838,0.21756460006402922,0.85,0.3126747134222148
ER p=0.05,256,uniform,0.812612982590503,0.1943918578315762,3.9793033926099493,-1.8073059339118485,0.476263256467874,0.97,0.8458477088632236
ER p=0.05,256,degree_linear,0.812612982590503,0.6362113373725784,3.1650547650617726,-1.3582306142892344,0.3527388862014013,0.86,0.39175279422890324
ER p=0.05,1337,uniform,0.5905643733030334,0.4021791902022728,4.348465630737973,-1.5653309679659393,0.47613626630582817,0.92,0.7285706547044642
ER p=0.05,1337,degree_linear,0.5905643733030334,0.7414827399312737,3.237132519585131,-1.347803227810795,0.25874978525684716,0.79,0.331137657679902
ER p=0.05,99,uniform,0.7467380894139528,0.5293608652873644,4.3197405541075575,-1.4309943325008563,0.38222081785153955,0.88,0.576203431954714
ER p=0.05,99,degree_linear,0.7467380894139528,0.584238811642856,2.8944554820868698,-1.2995003766226296,0.163316353167,0.86,0.25454510785161755
ER p=0.05,314,uniform,0.46496554141725605,0.24229218908241482,4.215537557302699,-1.637339013454602,0.47739465806439285,0.96,0.7636922626146593
ER p=0.05,314,degree_linear,0.46496554141725605,0.6882759652992883,3.290934678025845,-1.334147081848362,0.25290198742689546,0.84,0.3240892975756735
ER p=0.08,42,uniform,2.4303475748345496,-0.0,3.2905853389874524,-2.1172612944133076,0.27708198565593195,1.0,0.9944706428326546
ER p=0.08,42,degree_linear,2.4303475748345496,-0.0,2.8530815174963937,-1.9523698795784967,0.3799362503137618,1.0,0.9382367012957576
ER p=0.08,123,uniform,1.8345156739429878,-0.0,3.0958619029613925,-2.0595588982865842,0.28840350767177125,1.0,0.991509702079613
ER p=0.08,123,degree_linear,1.8345156739429878,-0.0,2.917834268254122,-2.0367751533780454,0.30513308322090604,1.0,0.9646403930597607
ER p=0.08,777,uniform,1.2617299650090266,-0.0,3.160408133066196,-2.0729974941039435,0.2915813399281714,1.0,0.991425108297287
ER p=0.08,777,degree_linear,1.2617299650090266,-0.0,2.9550496482224764,-2.041990593781356,0.2772963512260748,1.0,0.9802282360434412
ER p=0.08,17,uniform,2.226517963120544,-0.0,3.2258396616963125,-2.1035306076451605,0.29718412096604263,1.0,0.9892427769180006
ER p=0.08,17,degree_linear,2.226517963120544,-0.0,2.7096545889066452,-1.896155457200172,0.4072802943376391,1.0,0.919792493891342
ER p=0.08,256,uniform,1.612320977033805,-0.0,2.9572628325757004,-2.109767765538636,0.27915654495368053,1.0,0.9933371961957499
ER p=0.08,256,degree_linear,1.612320977033805,-0.0,2.847717932848072,-1.9718733871399456,0.36550526402576106,1.0,0.9219031048495681
ER p=0.08,1337,uniform,0.8760800985567844,-0.0,3.245429410503937,-2.0658922849541175,0.2877989277649879,1.0,0.9851102574296129
ER p=0.08,1337,degree_linear,0.8760800985567844,0.28639695711595625,3.892047326581798,-1.5759145332473987,0.4631805077080985,0.95,0.803124854855518
ER p=0.08,99,uniform,1.5747725102765302,0.08079313589591118,3.323367112175616,-2.0541885478261674,0.32639176580228507,0.99,0.9767799974380409
ER p=0.08,99,degree_linear,1.5747725102765302,0.32744491915447627,3.995458498525861,-1.4493646983218187,0.41776784268642314,0.94,0.6436382694180074
ER p=0.08,314,uniform,1.5559094054917593,0.08079313589591118,3.597861472862349,-2.101054566896781,0.3173414615247716,0.99,0.9813745325988026
ER p=0.08,314,degree_linear,1.5559094054917593,0.43646981706410287,4.20361991082615,-1.4498292009025842,0.41364937373893945,0.91,0.682353020389761
ER p=0.12,42,uniform,4.822552893721369,-0.0,2.579607645803389,-2.21587114288971,0.2444013630683423,1.0,0.9999318200326368
ER p=0.12,42,degree_linear,4.822552893721369,-0.0,2.457240406919678,-2.195679630628631,0.25720425519504564,1.0,0.9999133855097285
ER p=0.12,123,uniform,4.867440458137269,-0.0,2.696362002958664,-2.2247564981532295,0.24391660670792006,1.0,0.9999788713421773
ER p=0.12,123,degree_linear,4.867440458137269,-0.0,2.533927460628914,-2.2206947795829586,0.24599499862859533,1.0,0.9999656765454733
ER p=0.12,777,uniform,3.364107805097101,-0.0,2.787266900397262,-2.227799120942448,0.24558913681505892,1.0,0.9999757532647697
ER p=0.12,777,degree_linear,3.364107805097101,-0.0,2.5833681878922627,-2.1602431520371037,0.267195173767426,1.0,0.9999641924965735
