m,direction,graph_seed,dyn_seed,k_harm_in,k_harm_out,n_deaf_in,h_cont,h_cog,sync
5,HUBS_BROADCAST,2,17,4.552970161511087,2.4147048761048446,1,3.421048658922067,0.0004039656794795559,0.007947527312247949
5,HUBS_BROADCAST,2,256,4.552970161511087,2.4147048761048446,1,3.4330883684465654,0.0,-0.007518764138785791
5,UNDIRECTED,3,42,nan,nan,0,3.073067599330868,0.0,-0.0033332380854129
5,UNDIRECTED,3,123,nan,nan,0,3.1747365951463786,0.0,-0.00028367650861919327
5,UNDIRECTED,3,777,nan,nan,0,3.3749886383629257,0.0,0.011221589343979505
5,UNDIRECTED,3,17,nan,nan,0,3.246487373302063,0.0,0.003651960233600214
5,UNDIRECTED,3,256,nan,nan,0,3.2568559685806404,0.0,0.009500920189003031
5,RANDOM,3,42,3.4323603018149287,3.198332509098261,1,3.441495730314946,0.0,0.01606530356515155
5,RANDOM,3,123,3.4323603018149287,3.198332509098261,1,3.352701508072723,0.0,0.002343141745667213
5,RANDOM,3,777,3.4323603018149287,3.198332509098261,1,3.4582504463556645,0.0,0.008171856196129371
5,RANDOM,3,17,3.4323603018149287,3.198332509098261,1,3.4862901625186358,0.0,-0.003162926940268916
5,RANDOM,3,256,3.4323603018149287,3.198332509098261,1,3.4225101391041677,0.0004039656794795559,0.04784751039770375
5,HUBS_LISTEN,3,42,2.3355061860350452,4.5460012026458205,28,3.7339180667646246,0.08876645702615368,0.08020854739450939
5,HUBS_LISTEN,3,123,2.3355061860350452,4.5460012026458205,28,3.7621734713929254,0.08070169045738668,0.06450518300440419
5,HUBS_LISTEN,3,777,2.3355061860350452,4.5460012026458205,28,3.808904087610323,0.10939179527750617,0.07503187160116016
5,HUBS_LISTEN,3,17,2.3355061860350452,4.5460012026458205,28,3.8843092931691507,0.11570257610723576,0.050899208675107235
5,HUBS_LISTEN,3,256,2.3355061860350452,4.5460012026458205,28,3.763047724835041,0.10277461718192063,0.08965572322685908
5,HUBS_BROADCAST,3,42,4.5143312101910835,2.4528789166775997,1,3.3833269900903575,0.0,-0.005112507060010287
5,HUBS_BROADCAST,3,123,4.5143312101910835,2.4528789166775997,1,3.3947330071862756,0.0,0.01833719556278993
5,HUBS_BROADCAST,3,777,4.5143312101910835,2.4528789166775997,1,3.538228096966931,0.0,0.001612326878627981
5,HUBS_BROADCAST,3,17,4.5143312101910835,2.4528789166775997,1,3.470599231395114,0.0,0.0021390956699019544
5,HUBS_BROADCAST,3,256,4.5143312101910835,2.4528789166775997,1,3.3158518167071453,0.0,-0.0030987982132412305
5,UNDIRECTED,4,42,nan,nan,0,3.277933441430056,0.0,-0.001195967734941109
5,UNDIRECTED,4,123,nan,nan,0,3.18766753164226,0.0,-0.002440891589235381
5,UNDIRECTED,4,777,nan,nan,0,3.1687748890417153,0.0,0.007556570831119489
5,UNDIRECTED,4,17,nan,nan,0,3.1545636437551696,0.0,-0.0008227758563130032
5,UNDIRECTED,4,256,nan,nan,0,3.3070622228084785,0.0,0.007312936327598134
5,RANDOM,4,42,3.1399188251711156,3.0537660327330447,0,3.5789420791967603,0.0012118970384386676,0.017825824388973708
5,RANDOM,4,123,3.1399188251711156,3.0537660327330447,0,3.468606886821227,0.0,0.024200979447007356
5,RANDOM,4,777,3.1399188251711156,3.0537660327330447,0,3.376774837282465,0.0,0.031412451950468226
5,RANDOM,4,17,3.1399188251711156,3.0537660327330447,0,3.340577622372459,0.0,0.014721852830853761
5,RANDOM,4,256,3.1399188251711156,3.0537660327330447,0,3.4735340619599446,0.0,0.016967950378313727
5,HUBS_LISTEN,4,42,2.675404854440093,4.435436556616352,31,3.763648811392467,0.1027556704720162,0.06397317264359524
5,HUBS_LISTEN,4,123,2.675404854440093,4.435436556616352,31,3.7667206458290217,0.10136662316988009,0.013223995378012336
5,HUBS_LISTEN,4,777,2.675404854440093,4.435436556616352,31,3.769129005259541,0.10805266862907698,0.11743768432991267
