topology,n_nonlin,condition,gain_u,seed,R_mean,R_std,p_mean,u_mean,u_max
BA_m3,0.0,FULL,7.0,42,0.41549420880436644,0.19182890900523786,0.13956087888107782,0.322588445184948,0.6509228108137161
BA_m3,0.0,FULL,7.0,123,0.1820609272638343,0.11592858881114812,0.047381421597145604,0.21015749478291224,0.35855017073940787
BA_m3,0.0,FULL,7.0,777,0.3804838536920006,0.2459933631165573,0.11164163173523095,0.28948075478533986,0.5865241616102906
BA_m3,0.0,FULL,7.0,17,0.49476485358285,0.16579416569274108,0.07871411699794156,0.21886163937529188,0.4422527535556073
BA_m3,0.0,FULL,7.0,256,0.3596799283946017,0.16259951741336465,0.10665233103607483,0.27647328365320034,0.5466637030663456
BA_m3,0.0,FULL,7.0,1337,0.29847347765868354,0.22539897904741474,0.0836237054464019,0.25581757713266223,0.49678148718297943
BA_m3,0.0,FULL,7.0,99,0.41381186306453116,0.18939595078241128,0.09914243774462124,0.2722952449463884,0.5390539771679659
BA_m3,0.0,FULL,7.0,314,0.31338777810779717,0.2281984259725831,0.10708140997791926,0.2927772977861151,0.5935783042047059
BA_m3,0.0,FULL,7.0,2024,0.40248813590783294,0.22102053748009132,0.08736243151877295,0.25977822054388683,0.5266732067829909
BA_m3,0.0,FULL,7.0,888,0.4329013975855974,0.18712476433568367,0.08777438537224284,0.24035109835710458,0.4903019901041681
BA_m3,0.0,FULL,10.0,42,0.261910542216228,0.21734525334174296,0.267973298419692,0.5787373399087412,0.9699339127734713
BA_m3,0.0,FULL,10.0,123,0.13166400886376897,0.10758407164844581,0.15639728327838479,0.4463211138108209,0.8827708489167353
BA_m3,0.0,FULL,10.0,777,0.28375076844848734,0.2385564921645541,0.24069471876121462,0.5400437052229944,0.9750944146140221
BA_m3,0.0,FULL,10.0,17,0.3709637161447807,0.18724317095795287,0.15080865025461626,0.404912062365965,0.8573247128320588
BA_m3,0.0,FULL,10.0,256,0.23419594218177303,0.16965541493886416,0.22423686836767417,0.5226589331243208,0.957765011815468
BA_m3,0.0,FULL,10.0,1337,0.26253405477048686,0.17194713915990392,0.19798103694579844,0.5003002937224849,0.9491727242149167
BA_m3,0.0,FULL,10.0,99,0.2683888693069877,0.20485564382321012,0.21972220597240363,0.5234434544911606,0.9602776554920964
BA_m3,0.0,FULL,10.0,314,0.24348304753069647,0.2013634851768532,0.24710241828321214,0.5553655523145696,0.9798831036340738
BA_m3,0.0,FULL,10.0,2024,0.2647889327500998,0.1948602207057536,0.20752779658905812,0.5030982161604439,0.9434991117783804
BA_m3,0.0,FULL,10.0,888,0.2609944984098604,0.1825923653143157,0.17621242736062118,0.4595393148073039,0.9175183238496963
BA_m3,10.0,FROZEN_U,,42,0.22228438156657795,0.05701288927611556,0.024489377319040558,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,123,0.2628402528089526,0.08160790861989795,0.0274197301662547,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,777,0.2557261865852697,0.08128134378847404,0.02898238773227354,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,17,0.278713301128313,0.11589812097403866,0.02692247529798149,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,256,0.28472194512160404,0.09671822163606311,0.036623758017369404,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,1337,0.19066050484868344,0.0906320423326078,0.022952000560540618,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,99,0.32052349866293095,0.07731830096483726,0.03319830885238557,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,314,0.3102082413043562,0.12016506925904062,0.030503794161300966,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,2024,0.2685154556832172,0.08873115176440659,0.030830569432988952,0.05,0.04999999999999999
BA_m3,10.0,FROZEN_U,,888,0.30868911608881644,0.08837282756394213,0.030335971702710785,0.05,0.04999999999999999
BA_m3,10.0,FULL,1.0,42,0.22946682480566633,0.05519214268846428,0.024875940502239693,0.05969130600574094,0.0650990551157984
