bras,t_pulse,seed,dstar,flip_time,flip_ok,u_mean,u_filter_mean,reglage_filtre,reglage_u
B3c_FIXE_COUPLAGE_LOCAL,3000,10,1,3804,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,3000,11,-1,3813,1,0.05000000000000756,-0.22385818297102758,-0.22385818297101043,
B3c_FIXE_COUPLAGE_LOCAL,4500,0,-1,5299,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,1,-1,5236,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,2,1,5305,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,3,-1,5388,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,4,1,5284,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,5,-1,5358,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,6,-1,5304,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,7,-1,5353,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,8,-1,5288,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,9,-1,5279,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,10,1,5301,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
B3c_FIXE_COUPLAGE_LOCAL,4500,11,-1,5302,1,0.05000000000000756,-0.21421230564260066,-0.21421230564257854,
