readout,condition,t_pulse,seed,dstar,flip_time,acc_final
L0_JUMELLE,STNO_FROZEN_U,3000,9,-1,4122,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,9,-1,4194,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,9,-1,4516,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,9,-1,5369,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,9,-1,5102,1
L0_JUMELLE,STNO_FROZEN_U,3000,10,1,4235,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,10,1,4091,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,10,1,4045,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,10,1,4158,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,10,1,3902,1
L0_JUMELLE,STNO_FROZEN_U,3000,11,-1,4629,1
L1_BRUIT_INDEP,STNO_FROZEN_U,3000,11,-1,4882,1
L4_ETAT_INDEP,STNO_FROZEN_U,3000,11,-1,4925,1
L5_OMEGA_INDEP,STNO_FROZEN_U,3000,11,-1,4875,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,3000,11,-1,4651,1
L0_JUMELLE,STNO_FROZEN_U,4500,0,-1,5850,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,0,-1,5624,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,0,-1,5676,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,0,-1,7060,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,0,-1,6104,1
L0_JUMELLE,STNO_FROZEN_U,4500,1,-1,5535,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,1,-1,5603,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,1,-1,5492,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,1,-1,5308,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,1,-1,5213,1
L0_JUMELLE,STNO_FROZEN_U,4500,2,1,6213,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,2,1,6276,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,2,1,5900,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,2,1,5361,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,2,1,5652,1
L0_JUMELLE,STNO_FROZEN_U,4500,3,-1,5760,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,3,-1,5902,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,3,-1,5811,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,3,-1,6359,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,3,-1,5869,1
L0_JUMELLE,STNO_FROZEN_U,4500,4,1,5617,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,4,1,5538,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,4,1,5536,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,4,1,5393,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,4,1,5376,1
L0_JUMELLE,STNO_FROZEN_U,4500,5,-1,5375,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,5,-1,5448,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,5,-1,6647,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,5,-1,5269,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,5,-1,5216,1
L0_JUMELLE,STNO_FROZEN_U,4500,6,-1,5637,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,6,-1,5456,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,6,-1,5887,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,6,-1,6058,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,6,-1,5755,1
L0_JUMELLE,STNO_FROZEN_U,4500,7,-1,5854,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,7,-1,5609,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,7,-1,5317,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,7,-1,6361,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,7,-1,5659,1
L0_JUMELLE,STNO_FROZEN_U,4500,8,-1,5396,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,8,-1,5582,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,8,-1,5360,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,8,-1,6259,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,8,-1,5292,1
L0_JUMELLE,STNO_FROZEN_U,4500,9,-1,5712,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,9,-1,5750,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,9,-1,5806,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,9,-1,7184,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,9,-1,6931,1
L0_JUMELLE,STNO_FROZEN_U,4500,10,1,5880,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,10,1,5932,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,10,1,5856,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,10,1,5854,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,10,1,5608,1
L0_JUMELLE,STNO_FROZEN_U,4500,11,-1,5868,1
L1_BRUIT_INDEP,STNO_FROZEN_U,4500,11,-1,5887,1
L4_ETAT_INDEP,STNO_FROZEN_U,4500,11,-1,6150,1
L5_OMEGA_INDEP,STNO_FROZEN_U,4500,11,-1,5772,1
L5c_OMEGA_INDEP_CALIBRE,STNO_FROZEN_U,4500,11,-1,5587,1
