N,c,seed,lambda2,H_stable,U4,LZ,sync,H_cont
100,3.2142857142857144,8,2.4434458580111666,3.363057351725224,0.666088103160114,0.8095913127005663,0.009393824484122862,3.356628448042207
100,3.2142857142857144,13,2.6066217005064223,3.11398238797006,0.6657288371036203,0.8189533267791522,-0.02589887124491992,2.985218872656868
100,3.2142857142857144,12,2.6375539276761373,3.2124805248418764,0.6655205093401216,0.8081052787198385,0.01843012335350644,3.054820511408962
100,3.2142857142857144,9,2.848785208836151,3.1784405860593483,0.6648458957148754,0.8284639442558109,-0.0016506513925939714,3.175435941649907
100,3.2142857142857144,14,1.9369004490576753,3.2030167552053137,0.6651386571213975,0.8274237204693015,-0.0022926482292963575,3.282583573271057
100,3.2142857142857144,16,2.365568278029176,3.29828148910002,0.6658653035704349,0.8144952248369683,0.004009474309035751,3.392376011063646
100,3.2142857142857144,17,2.702047259663029,3.164327242349101,0.6655223543714123,0.8320304258095581,0.010555748970423792,3.05906928478801
100,3.2142857142857144,11,2.341552822995311,3.3373692420877576,0.6652087771932864,0.8289097544500291,0.018127882831561953,3.321357085296488
100,3.2142857142857144,18,2.532492419692465,3.2704362965731786,0.6646707397590649,0.8164270690119144,-0.00930762506875542,3.263640342329202
100,3.2142857142857144,15,2.3933379012089055,3.193785055185913,0.66535559838486,0.8457019384322545,0.005001945915006226,3.2085896803769898
100,3.2142857142857144,19,2.2061115251166954,3.2749869716253963,0.6655151870408015,0.848971213189856,0.008082623599081974,3.201636089816367
100,3.2142857142857144,20,2.202500112346169,3.3365094191025344,0.6662467264497358,0.816129862215769,-0.006186026158706681,3.3478920696866488
100,3.2142857142857144,21,2.261767180612176,3.171638978885794,0.6656259582998656,0.8174672927984247,-0.001136567883702771,3.1976005429929706
100,3.2142857142857144,23,2.523483473086243,3.2622050277805856,0.6659051463552241,0.8176158961964975,-0.023223674775807196,3.251082837563955
100,3.2142857142857144,22,2.529187079378352,3.2481909663587607,0.6654392942610095,0.8118203636716586,-0.03195897273781005,3.535014042226177
100,3.2142857142857144,25,2.375849190393921,3.3585986562831023,0.6658709175249087,0.8037957801757273,-0.006015087406187136,3.3813642859343234
100,3.2142857142857144,24,2.8195637422958786,3.3182088219129553,0.6659673510299402,0.8237086355174814,-0.0032214639436039328,3.2486188936850393
100,3.2142857142857144,26,2.653655921889572,3.213344740474278,0.6648344455589489,0.8225198083328992,-0.0035058509113401826,3.085118044182786
100,3.2142857142857144,28,2.702381754061684,3.2504472311753783,0.6658623381413267,0.8193991369733711,-0.01027147150733449,3.316570641631299
100,3.2142857142857144,29,2.835920283492953,3.224062106662022,0.6654837250906558,0.816427069011915,0.012756469555845106,3.205973580137003
100,3.2142857142857144,30,2.4028461885962096,3.2410010068203885,0.6658136844786071,0.8089968991082754,-0.020257846753866066,3.387379254071581
100,3.2142857142857144,27,2.478178243766262,3.223950358191412,0.6651862205656953,0.8207365675560261,-0.011062349489910812,3.268906905537429
100,3.2142857142857144,33,2.365603184696049,3.1846265873505177,0.6658698755996781,0.816872879206133,-0.015075003454632977,3.1172379114025595
100,3.2142857142857144,34,2.7355818499868993,3.2714371694064996,0.6655138319291669,0.8277209272654469,-0.011447121713173587,3.189118306997523
100,3.2142857142857144,32,2.8685189912195375,3.1148029906656576,0.665209689022013,0.816872879206133,-0.002802215014122136,3.033555573269272
100,3.2142857142857144,31,2.6923133719882286,3.4174920065514103,0.6660908974388726,0.8076594685256202,-0.032329905884593384,3.4922101774002154
100,3.2142857142857144,35,2.457853132094335,3.178993400470283,0.6658367482353429,0.8253432728962822,-0.020821117671625713,3.1723178967065997
100,3.2142857142857144,36,2.310424694088582,3.144653592619953,0.6644176179100278,0.8326248394018492,-0.008551652326979672,2.979528751633896
