m,nu,ablation,elapsed_hours,seed,h_cont,h_cog,sync
3,0.1,FROZEN_U,1000000,42,4.819889037367392,1.4032789727532724,0.20358892255819688
3,0.1,FROZEN_U,1000000,123,4.977853363782512,1.5492464188534616,0.08383138280776145
3,0.1,FROZEN_U,1000000,777,4.824220252719016,1.4198268024697969,0.19873652625228208
3,0.1,FROZEN_U,1000000,17,4.857465061062546,1.4356407788344032,0.1854000476424194
3,0.1,FROZEN_U,1000000,256,4.933554391221903,1.4895239483077796,0.1527271556831519
3,0.1,FROZEN_U,1000000,1337,4.742001289054259,1.3829613881589042,0.20867867774196658
3,0.1,FROZEN_U,1000000,99,5.031884239460402,1.5849309180590623,0.053192661342321285
3,0.1,FROZEN_U,1000000,314,4.973934187861076,1.518891252198592,0.10708398216071773
3,0.1,FROZEN_U,1000000,2024,4.843882203345379,1.4858022050267903,0.1464277584538688
3,0.1,FROZEN_U,1000000,888,4.972933249877445,1.5311056330692157,0.13017295156612085
5,0.05,FULL,1,42,3.2055140827844997,0.0005386209059727412,0.07651820626786159
5,0.05,FULL,1,123,3.250996643100668,0.0,0.060366552669814194
5,0.05,FULL,1,777,3.1832515816835767,0.0,0.09974766580332957
5,0.05,FULL,1,17,3.1355118172942116,0.0002693104529863706,0.05491708743524954
5,0.05,FULL,1,256,3.1647708544103876,0.0,0.07782680534323193
5,0.05,FULL,1,1337,3.068865782011326,0.0,0.04238011668896953
5,0.05,FULL,1,99,3.098583729859277,0.0002693104529863706,0.07127968163733715
5,0.05,FULL,1,314,3.25517652770367,0.0002693104529863706,0.07062125441085623
5,0.05,FULL,1,2024,3.1976103345736497,0.0,0.06460816275048611
5,0.05,FULL,1,888,3.164914470247043,0.0002693104529863706,0.05670657883091957
5,0.05,FULL,10,42,3.1544729808792558,0.0,0.04833347740994541
5,0.05,FULL,10,123,3.3277994741311874,0.004082557047081081,0.08370234207012318
5,0.05,FULL,10,777,3.3458740412787136,0.0,0.07085342494199719
5,0.05,FULL,10,17,3.1456086025046717,0.0010772418119454825,0.05968939180622781
5,0.05,FULL,10,256,3.1927176396348416,0.0002693104529863706,0.08460600979840001
5,0.05,FULL,10,1337,3.1967165935339033,0.001279399834098514,0.05963419935344656
5,0.05,FULL,10,99,3.22124865213369,0.0010772418119454825,0.08267327753207204
5,0.05,FULL,10,314,3.3355289173018066,0.0002693104529863706,0.06382402323881332
5,0.05,FULL,10,2024,3.3081281199182215,0.0010772418119454825,0.07677204428462797
5,0.05,FULL,10,888,3.2305880039572914,0.0,0.07315013852981338
5,0.05,FULL,100,42,3.2489574714755305,0.002356641646043996,0.05444573289906353
