base_topo,family,oracle,c_doubt,c_conv
ER_p06,CONTRADICTION,2000,207,165
ER_p06,EVIDENCE,1394,142,81
ER_p06,CONTRADICTION,1867,352,85
ER_p06,TOPOLOGIE,665,174,81
ER_p06,TOPOLOGIE,1367,156,81
ER_p06,CONTRADICTION,2000,542,84
ER_p06,TOPOLOGIE,1700,169,81
ER_p06,EVIDENCE,571,161,81
ER_p06,CONTRADICTION,919,141,113
ER_p06,CONTRADICTION,2000,486,98
ER_p06,TOPOLOGIE,2000,2000,112
ER_p06,CONTRADICTION,2000,575,126
ER_p06,TOPOLOGIE,1533,169,117
ER_p06,EVIDENCE,2000,138,81
ER_p06,EVIDENCE,1774,169,101
ER_p06,TOPOLOGIE,1623,2000,84
ER_p06,EVIDENCE,1072,139,81
ER_p06,CONTRADICTION,1860,256,104
ER_p06,TOPOLOGIE,2000,306,107
ER_p06,EVIDENCE,758,159,99
ER_p06,CONTRADICTION,2000,191,154
ER_p06,EVIDENCE,931,162,81
ER_p06,CONTRADICTION,2000,623,146
ER_p06,TOPOLOGIE,1932,187,222
ER_p06,EVIDENCE,2000,123,81
ER_p06,EVIDENCE,914,143,81
ER_p06,CONTRADICTION,2000,831,95
ER_p06,TOPOLOGIE,905,2000,95
ER_p06,TOPOLOGIE,1,170,115
ER_p06,CONTRADICTION,1526,712,106
ER_p06,TOPOLOGIE,1,2000,105
ER_p06,EVIDENCE,906,132,81
ER_p06,TOPOLOGIE,2000,302,226
ER_p06,CONTRADICTION,1866,296,172
ER_p06,CONTRADICTION,2000,809,109
ER_p06,CONTRADICTION,2000,541,138
ER_p06,EVIDENCE,1878,205,98
ER_p06,EVIDENCE,2000,158,81
ER_p06,TOPOLOGIE,2000,193,81
ER_p06,TOPOLOGIE,1,2000,120
ER_p06,EVIDENCE,2000,158,81
ER_p06,CONTRADICTION,2000,500,113
ER_p06,CONTRADICTION,2000,545,158
ER_p06,CONTRADICTION,717,624,110
ER_p06,CONTRADICTION,2000,144,96
ER_p06,EVIDENCE,789,134,81
ER_p06,EVIDENCE,2000,134,81
ER_p06,TOPOLOGIE,868,2000,121
ER_p06,EVIDENCE,1113,126,81
ER_p06,TOPOLOGIE,2000,313,151
ER_p06,EVIDENCE,1049,176,81
ER_p06,TOPOLOGIE,1532,162,81
ER_p06,TOPOLOGIE,1922,169,83
ER_p06,TOPOLOGIE,1,168,124
ER_p06,CONTRADICTION,2000,555,85
ER_p06,TOPOLOGIE,1244,210,81
ER_p06,CONTRADICTION,1959,557,131
ER_p06,EVIDENCE,1696,137,81
ER_p06,TOPOLOGIE,1,189,81
ER_p06,EVIDENCE,1730,153,81
ER_p06,EVIDENCE,886,166,81
ER_p06,CONTRADICTION,2000,623,201
ER_p06,CONTRADICTION,2000,158,81
ER_p06,TOPOLOGIE,1974,174,99
ER_p06,EVIDENCE,2000,168,81
ER_p06,CONTRADICTION,2000,648,130
ER_p06,CONTRADICTION,2000,703,81
ER_p06,TOPOLOGIE,1763,149,81
ER_p06,EVIDENCE,2000,161,88
ER_p06,EVIDENCE,2000,141,121
ER_p06,TOPOLOGIE,2000,186,150
ER_p06,EVIDENCE,1869,138,81
ER_p06,CONTRADICTION,2000,310,151
ER_p06,CONTRADICTION,2000,303,81
ER_p06,TOPOLOGIE,1527,274,107
ER_p06,TOPOLOGIE,893,182,81
ER_p06,EVIDENCE,2000,153,81
ER_p06,EVIDENCE,2000,153,81
ER_p06,TOPOLOGIE,1551,2000,152
ER_p06,CONTRADICTION,2000,572,103
ER_p06,CONTRADICTION,2000,871,178
ER_p06,EVIDENCE,1,147,104
ER_p06,CONTRADICTION,2000,272,110
ER_p06,TOPOLOGIE,1058,166,81
