i_stim,u_frozen,u_filter,group,seed,synchrony,lz_full,u_drift
0.10,0.950,-0.878281,repli,3047,0.0000571284,1.4518379110,0.000e+00
0.10,0.950,-0.878281,repli,3048,0.0015816398,1.2206081058,0.000e+00
0.10,0.950,-0.878281,repli,3049,-0.0040886394,1.2568149080,0.000e+00
0.10,0.950,-0.878281,repli,3050,-0.0026899223,1.1934530041,0.000e+00
0.20,0.050,0.898281,canon,0,0.7673932880,1.6128484633,0.000e+00
0.20,0.050,0.898281,canon,1,0.7673387957,1.6139456392,0.000e+00
0.20,0.050,0.898281,canon,2,0.7444578702,1.6002309413,0.000e+00
0.20,0.050,0.898281,canon,3,0.7660163886,1.6114769936,0.000e+00
0.20,0.050,0.898281,canon,4,0.7757479303,1.5961165320,0.000e+00
0.20,0.050,0.898281,canon,5,0.8032320689,1.5988594716,0.000e+00
0.20,0.050,0.898281,canon,6,0.7862449650,1.6128484633,0.000e+00
0.20,0.050,0.898281,canon,7,0.7255263134,1.6103798177,0.000e+00
0.20,0.050,0.898281,canon,8,0.8402298139,1.6018767051,0.000e+00
0.20,0.050,0.898281,canon,9,0.8200212563,1.5955679441,0.000e+00
0.20,0.150,0.810340,canon,0,0.7487150114,1.5991337655,0.000e+00
0.20,0.150,0.810340,canon,1,0.8181457566,1.6048939386,0.000e+00
0.20,0.150,0.810340,canon,2,0.7362504907,1.5980365897,0.000e+00
0.20,0.150,0.810340,canon,3,0.7901979601,1.6035224688,0.000e+00
0.20,0.150,0.810340,canon,4,0.7819613004,1.5870648314,0.000e+00
